paper_key,global_key,conf_key
conf/aaai/TekinYS16,aaai,conf/aaai/2016health
conf/icml/HoilesS16,icml,conf/icml/2016
conf/icml/Soltanmohammadi15,icml,conf/icml/2015
conf/icml/YoonAHS16,icml,conf/icml/2016
conf/infocom/Izhak-RatzinPS11,infocom,conf/infocom/2011
conf/infocom/KimRSL13,infocom,conf/infocom/2013
conf/infocom/KimRSL13a,infocom,conf/infocom/2013
conf/infocom/KimRSL13b,infocom,conf/infocom/2013w
conf/infocom/ParkS10,infocom,conf/infocom/2010
conf/infocom/ParkS11,infocom,conf/infocom/2011
conf/infocom/RenPS11,infocom,conf/infocom/2011
conf/infocom/RenPS12,infocom,conf/infocom/2012
conf/infocom/RenS13,infocom,conf/infocom/2013
conf/mobicom/RenS09,mobicom,conf/mobicom/2009coronet
conf/osdi/ParkS10,osdi,conf/osdi/2010netecon
conf/sigcomm/YuanXS15,sigcomm,conf/sigcomm/2015
conf/aaai/Schulz15,aaai,conf/aaai/2015
conf/aaai/Schulz15a,aaai,conf/aaai/2015
conf/ijcai/GaoT15,ijcai,conf/ijcai/2015
conf/ijcai/KakasMT16,ijcai,conf/ijcai/2016bridging
conf/kdd/CarstensT13,kdd,conf/kdd/2013wisdom
conf/aaai/SeukenTP10,aaai,conf/aaai/2010
conf/cikm/HopcroftLT11,cikm,conf/cikm/2011
conf/cikm/YangTZ14,cikm,conf/cikm/2014
conf/ijcai/FangT15,ijcai,conf/ijcai/2015
conf/ijcai/TangLLCG09,ijcai,conf/ijcai/2009
conf/ijcai/YangTC16,ijcai,conf/ijcai/2016
conf/kdd/DongYTYC14,kdd,conf/kdd/2014
conf/kdd/TangWGW11,kdd,conf/kdd/2011
conf/kdd/TangWS13,kdd,conf/kdd/2013
conf/kdd/YangSTML15,kdd,conf/kdd/2015
conf/kdd/ZhangTYPY15,kdd,conf/kdd/2015
conf/sigir/TangWB11,sigir,conf/sigir/2011
conf/www/LiangTL05,www,conf/www/2005si
conf/www/LouT13,www,conf/www/2013
conf/www/Tang16,www,conf/www/2016c
conf/www/TangFS15,www,conf/www/2015
conf/www/TangS14,www,conf/www/2014c
conf/chi/GuoYGSBL13,chi,conf/chi/2013a
conf/mfcs/AleksandrovDGMNS06,mfcs,conf/mfcs/2006
conf/aaai/GanLYMH16,aaai,conf/aaai/2016
conf/aaai/YanXTLY16,aaai,conf/aaai/2016
conf/aaai/YanYSMLHS15,aaai,conf/aaai/2015
conf/acl/DowneyBY15,acl,conf/acl/2015-1
conf/acl/YangC15,acl,conf/acl/2015-1
conf/acl/YangE14,acl,conf/acl/2014-2
conf/cvpr/GanWYYH15,cvpr,conf/cvpr/2015
conf/cvpr/MaYXYSH13,cvpr,conf/cvpr/2013
conf/cvpr/XiaoXYHW15,cvpr,conf/cvpr/2015
conf/cvpr/XuTYMH14,cvpr,conf/cvpr/2014
conf/cvpr/XuYH15,cvpr,conf/cvpr/2015
conf/cvpr/YuYH13,cvpr,conf/cvpr/2013
conf/iccv/MaoWYWHY15,iccv,conf/iccv/2015
conf/iccv/XuYTSH13,iccv,conf/iccv/2013
conf/iccv/YangMXYH13,iccv,conf/iccv/2013
conf/iccv/YangN11,iccv,conf/iccv/2011
conf/icde/ZhengSYY13,icde,conf/icde/2013
conf/ijcai/MaYNS13,ijcai,conf/ijcai/2013
conf/ijcai/YanTTYZS15,ijcai,conf/ijcai/2015
conf/mobicom/VarshneyXMYXB07,mobicom,conf/mobicom/2007wintech
conf/mobicom/YangB09,mobicom,conf/mobicom/2009vanet
conf/mobicom/YangVMB07,mobicom,conf/mobicom/2007vanet
conf/aaai/0002Z15,aaai,conf/aaai/2015
conf/aaai/LiBP06,aaai,conf/aaai/2006
conf/aaai/LiPB08,aaai,conf/aaai/2008
conf/ijcai/LiZF13,ijcai,conf/ijcai/2013
conf/chi/AndersonGWF15,chi,conf/chi/2015
conf/chi/BanovicGF13,chi,conf/chi/2013
conf/chi/ChenGWF14,chi,conf/chi/2014
conf/chi/ChenGWSHFA14,chi,conf/chi/2014
conf/chi/ChilanaGF11,chi,conf/chi/2011
conf/chi/ChilanaKWG13,chi,conf/chi/2013
conf/chi/ChilanaKWGF11,chi,conf/chi/2011
conf/chi/GrossmanB04,chi,conf/chi/2004
conf/chi/GrossmanB05,chi,conf/chi/2005
conf/chi/GrossmanB08,chi,conf/chi/2008
conf/chi/GrossmanBKFKB02,chi,conf/chi/2002
conf/chi/GrossmanBS03,chi,conf/chi/2003
conf/chi/GrossmanDB07,chi,conf/chi/2007
conf/chi/GrossmanF10,chi,conf/chi/2010
conf/chi/GrossmanFA09,chi,conf/chi/2009
conf/chi/GrossmanHBAB06,chi,conf/chi/2006
conf/chi/GrossmanKB07,chi,conf/chi/2007
conf/chi/GrossmanWB07,chi,conf/chi/2007
conf/chi/HasanGI11,chi,conf/chi/2011
conf/chi/KattinakereGS07,chi,conf/chi/2007
conf/chi/KaziGMSF16,chi,conf/chi/2016
conf/chi/KaziGUF16,chi,conf/chi/2016
conf/chi/KaziGUF16a,chi,conf/chi/2016a
conf/chi/KongGHAF12,chi,conf/chi/2012
conf/chi/LafreniereGCG16,chi,conf/chi/2016
conf/chi/LafreniereGF13,chi,conf/chi/2013
conf/chi/LafreniereGMF14,chi,conf/chi/2014
conf/chi/LepinskiGF10,chi,conf/chi/2010
conf/chi/MatejkaGF11,chi,conf/chi/2011
conf/chi/MatejkaGF12,chi,conf/chi/2012
conf/chi/MatejkaGF12a,chi,conf/chi/2012a
conf/chi/MatejkaGF13,chi,conf/chi/2013
conf/chi/MatejkaGF13a,chi,conf/chi/2013
conf/chi/MatejkaGGF16,chi,conf/chi/2016
conf/chi/RamakersAGF16,chi,conf/chi/2016
conf/chi/XiaAGW16,chi,conf/chi/2016
conf/chi/YangGIF11,chi,conf/chi/2011
conf/uist/AndersonGMF13,uist,conf/uist/2013
conf/uist/BanovicGMF12,uist,conf/uist/2012
conf/uist/ChenGF14,uist,conf/uist/2014
conf/uist/EnsGAMF15,uist,conf/uist/2015
conf/uist/GrossmanB06,uist,conf/uist/2006
conf/uist/GrossmanMF10,uist,conf/uist/2010
conf/uist/GrossmanWB04,uist,conf/uist/2004
