paper_key,l0,global_key
conf/aaai/0001JT16,1,aaai
conf/aaai/0001M13,1,aaai
conf/aaai/0001STS15,1,aaai
conf/aaai/0001T15,0,aaai
conf/aaai/0001TZLL14,1,aaai
conf/aaai/0001VD15,0,aaai
conf/aaai/0001YT15,1,aaai
conf/aaai/0002GYSZL14,1,aaai
conf/aaai/0002Z15,1,aaai
conf/aaai/0002ZL15,1,aaai
conf/aaai/0003MGF14,1,aaai
conf/aaai/0004ZK16,1,aaai
conf/aaai/0005YJZ15,1,aaai
conf/aaai/0005YYJZ16,1,aaai
conf/aaai/0011DWQH16,1,aaai
conf/aaai/0011QCH16,1,aaai
conf/aaai/AbbasnejadDS15,1,aaai
conf/aaai/AbdelrazekE12,1,aaai
conf/aaai/AbdullahLC12,1,aaai
conf/aaai/AbelML16,1,aaai
conf/aaai/AbergALS06,1,aaai
conf/aaai/AbernethySB08,1,aaai
conf/aaai/AbeywardanaR15,1,aaai
conf/aaai/AbolghasemiRBB16,1,aaai
conf/aaai/AbtahiF11,1,aaai
conf/aaai/AcciarriCGLLPR05,0,aaai
conf/aaai/AchlioptasGKS00,1,aaai
conf/aaai/AchlioptasJM04,1,aaai
conf/aaai/AckermanBBL12,0,aaai
conf/aaai/Ackley16,0,aaai
conf/aaai/AdelW15,1,aaai
conf/aaai/AdibiCMV04,1,aaai
conf/aaai/AdigaKMV13,1,aaai
conf/aaai/AdigaV16,1,aaai
conf/aaai/Adler10,0,aaai
conf/aaai/AdlerYBCMM13,1,aaai
conf/aaai/AdulyasakVAJ15,1,aaai
conf/aaai/AfsharSA15,1,aaai
conf/aaai/AfsharSW16,0,aaai
conf/aaai/AgarwalCDKKKMMS05,1,aaai
conf/aaai/AggourC05,1,aaai
conf/aaai/AghighiJ14,1,aaai
conf/aaai/AghighiJS15,1,aaai
conf/aaai/AgmonKK05,1,aaai
conf/aaai/AgmonS11,0,aaai
conf/aaai/AgmonUS11,0,aaai
conf/aaai/AgoginoT06,1,aaai
conf/aaai/AguirreLGTEK11,1,aaai
conf/aaai/AgussurjaLC16,1,aaai
conf/aaai/AhmadHWTPS10,1,aaai
conf/aaai/AhmadKSWSC11,1,aaai
conf/aaai/AhmadiKN13,1,aaai
conf/aaai/AhmadiS06,1,aaai
conf/aaai/AhmadiS06a,1,aaai
conf/aaai/AhmadinejadDHLM16,1,aaai
conf/aaai/AhmedCG15,1,aaai
conf/aaai/AhmedG14,1,aaai
conf/aaai/AhmedK11,1,aaai
conf/aaai/AhmedSMHJ07,1,aaai
conf/aaai/AhmetajCOS14,1,aaai
conf/aaai/AhnP14,1,aaai
conf/aaai/AineL13,1,aaai
conf/aaai/Aist00,0,aaai
conf/aaai/Aist00a,0,aaai
conf/aaai/AkasiadisC13,1,aaai
conf/aaai/AkbariHNC16,1,aaai
conf/aaai/AkersBKRY00,1,aaai
conf/aaai/AkgunMJFH11,1,aaai
conf/aaai/AkgunSST11,1,aaai
conf/aaai/AkibaHNIY15,1,aaai
conf/aaai/AkkirajuSIGS06,1,aaai
conf/aaai/AktolgaRAD11,1,aaai
conf/aaai/Al-BakriALR15,1,aaai
conf/aaai/Al-OnaizanGHKKMY00,1,aaai
conf/aaai/Al-ShedivatWAHG14,1,aaai
conf/aaai/Al-ZaidyCG16,1,aaai
conf/aaai/AlabdulmohsinGZ15,1,aaai
conf/aaai/AlamRR13,1,aaai
conf/aaai/AlbaDGLMNWCQ16,1,aaai
