global_key,paper_key,name,gender
aaai,conf/aaai/0001STS15,Jie Xu 0001,F
aaai,conf/aaai/0001T15,Claudia Schulz 0001,F
aaai,conf/aaai/0001TZLL14,Jing Zhang 0001,F
aaai,conf/aaai/0002GYSZL14,Hua Guo,F
aaai,conf/aaai/0002Z15,Xuehua Zhao,F
aaai,conf/aaai/0002ZL15,Xuehua Zhao,F
aaai,conf/aaai/0003MGF14,Wei Li 0002,F
aaai,conf/aaai/0004ZK16,Shuai Zheng 0004,F
aaai,conf/aaai/0005YJZ15,Rong Jin,F
aaai,conf/aaai/0005YYJZ16,Rong Jin,F
aaai,conf/aaai/0011DWQH16,Jing Qin,F
aaai,conf/aaai/0011QCH16,Xiaojuan Qi,F
aaai,conf/aaai/AbergALS06,Cécile Aberg,F
aaai,conf/aaai/AbernethySB08,Jennifer Abernethy,F
aaai,conf/aaai/AbtahiF11,Farnaz Abtahi,F
aaai,conf/aaai/AcciarriCGLLPR05,Andrea Acciarri,F
aaai,conf/aaai/AchlioptasGKS00,Carla P. Gomes,F
aaai,conf/aaai/AchlioptasJM04,Haixia Jia,F
aaai,conf/aaai/AckermanBBL12,Margareta Ackerman,F
aaai,conf/aaai/AdlerYBCMM13,Fusun Yaman,F
aaai,conf/aaai/AdulyasakVAJ15,Asrar Ahmed,F
aaai,conf/aaai/AgmonKK05,Noa Agmon,F
aaai,conf/aaai/AgmonS11,Noa Agmon,F
aaai,conf/aaai/AgmonUS11,Noa Agmon,F
aaai,conf/aaai/AguirreLGTEK11,Heidi A. Taboada,F
aaai,conf/aaai/AgussurjaLC16,Hoong Chuin Lau,F
aaai,conf/aaai/AhmadHWTPS10,Jing Wang,F
aaai,conf/aaai/AhmadKSWSC11,Sophia Sullivan,F
aaai,conf/aaai/AhmadiS06,Mazda Ahmadi,F
aaai,conf/aaai/AhmadiS06a,Mazda Ahmadi,F
aaai,conf/aaai/AhmadinejadDHLM16,Sina Dehghani,F
aaai,conf/aaai/AhmedG14,Janice I. Glasgow,F
aaai,conf/aaai/AhmedK11,Asrar Ahmed,F
aaai,conf/aaai/AhmetajCOS14,Shqiponja Ahmetaj,F
aaai,conf/aaai/AhnP14,Rosalind W. Picard,F
aaai,conf/aaai/AkbariHNC16,Xia Hu,F
aaai,conf/aaai/AkersBKRY00,Elaine Kant,F
aaai,conf/aaai/AkgunSST11,Jaeeun Shim,F
aaai,conf/aaai/AkibaHNIY15,Nozomi Nori,F
aaai,conf/aaai/AktolgaRAD11,Elif Aktolga,F
aaai,conf/aaai/Al-BakriALR15,Marie-Christine Rousset,F
aaai,conf/aaai/Al-ShedivatWAHG14,Maruan Al-Shedivat,F
aaai,conf/aaai/AlabdulmohsinGZ15,Xin Gao,F
aaai,conf/aaai/AlbaDGLMNWCQ16,Meenakshi Nagarajan,F
aaai,conf/aaai/AlboreABGLS06,Natasha Alechina,F
aaai,conf/aaai/AlechinaBDHHLNZ13,Natasha Alechina,F
aaai,conf/aaai/AlechinaDLM07,Natasha Alechina,F
aaai,conf/aaai/AleksandrowiczCHI14,Hana Chockler,F
aaai,conf/aaai/AlexanderZ05,Jianna Zhang,F
aaai,conf/aaai/AlharbiQZ16,Basma Alharbi,F
aaai,conf/aaai/Alkalay-HoulihanV14,Colleen Alkalay-Houlihan,F
aaai,conf/aaai/AllenCFGJST07,Mary D. Swift,F
aaai,conf/aaai/AllenGJMR16,Judy Goldsmith,F
aaai,conf/aaai/AllenGM14,Judy Goldsmith,F
aaai,conf/aaai/AlloucheBBGGLMS12,Patricia Gutierrez,F
aaai,conf/aaai/AlonFMT13,Noga Alon,F
aaai,conf/aaai/AlonMT13,Noga Alon,F
aaai,conf/aaai/AlonsoAH10,Catherine Havasi,F
